Components,Train 0-1 Loss,Test 0-1 Loss,Train MSE,Test MSE,Weight Norm
100,0.8049,0.8296,0.09671845777952767,0.09793886835103627,1.6147735815042346
2525,0.30779999999999996,0.7556,0.06664554907177449,0.11594359330644628,30.275718785003097
4950,0.05469999999999997,0.7576,0.04255965016754908,0.16901373953209028,69.96880938074311
7375,0.0040999999999999925,0.794,0.02115517484759776,0.323196906239571,141.14065026827012
9800,0.0,0.8892,0.0016329293259756226,4.4035502443010905,677.0779563452619
9850,0.0,0.8948,0.001152198129634685,5.304627586239452,744.1216291733966
9900,0.0,0.884,0.0007466732969167195,8.537235803233578,944.7919957289593
9950,0.0,0.8956,0.0003469854716451905,19.311575129635834,1412.6958358428374
10000,0.0,0.9008,7.774329399538373e-26,3424.035526437948,19526.20463058012
10050,0.0,0.8904,1.7799164701070794e-07,19.26911153556933,1450.6203323050959
10100,0.0,0.898,1.8356824512997736e-08,9.315977169033118,996.2229980678555
10150,0.0,0.8832,5.535683271011257e-09,6.062211313440975,805.7478300492525
10200,0.0,0.8892,2.2550328946252735e-09,4.3429206437993,686.857339933977
10201,0.0,0.8852,1.9870902001191186e-09,4.286812968541534,674.7557180667476
13758,0.0,0.7892,9.701728288795248e-13,0.29563673589373196,182.56058484609258
17315,0.0,0.7504,3.4252417167743295e-13,0.19212905178698444,148.30061236427102
20872,0.0,0.722,2.079904046742835e-13,0.1522781753587561,133.05635567470918
24429,0.0,0.7128,1.899915812115528e-13,0.13262513124878184,125.09872066618911
27986,0.0,0.6928000000000001,1.5676542040765147e-13,0.12052219281651622,119.73414422941097
31543,0.0,0.6892,1.5581657238285058e-13,0.11386985199678992,116.63698543002184
35100,0.0,0.6752,1.4834687945315488e-13,0.10841511430224182,113.77667404476604
38657,0.0,0.6548,1.3721066030505129e-13,0.10217128681369822,111.85165078334302
42214,0.0,0.6532,1.3782146211106163e-13,0.0997439947399104,110.0015412198836
45771,0.0,0.6476,1.4990831514868768e-13,0.09780127769217575,108.92318033653623
49328,0.0,0.6355999999999999,1.391583351656786e-13,0.0950809156304731,107.8570215663669
52885,0.0,0.614,1.508206366524564e-13,0.09147440962262054,106.89332952271951
56442,0.0,0.6268,1.53553015278457e-13,0.09052983288333488,106.10087845677984
60000,0.0,0.5996,1.6054307118966018e-13,0.08944966567968334,105.41804863507662
